"","Country","Year","GDP"
"1","Argentina",2014,563.614
"2","Argentina",2015,642.464
"3","Argentina",2016,556.774
"4","Argentina",2017,643.861
"5","Argentina",2018,524.431
"6","Argentina",2019,451.815
"7","Argentina",2020,389.064
"8","Argentina",2021,487.377
"9","Argentina",2022,630.606
"10","Argentina",2023,621.833
"11","Argentina",2024,632.629
"12","Australia",2014,1456.62
"13","Australia",2015,1233.11
"14","Australia",2016,1263.52
"15","Australia",2017,1381.66
"16","Australia",2018,1417.06
"17","Australia",2019,1385.48
"18","Australia",2020,1360.85
"19","Australia",2021,1645.3
"20","Australia",2022,1702.55
"21","Australia",2023,1687.71
"22","Australia",2024,1685.67
"23","Brazil",2014,2456.06
"24","Brazil",2015,1800.05
"25","Brazil",2016,1796.62
"26","Brazil",2017,2063.52
"27","Brazil",2018,1916.93
"28","Brazil",2019,1873.29
"29","Brazil",2020,1476.09
"30","Brazil",2021,1649.63
"31","Brazil",2022,1920.02
"32","Brazil",2023,2126.81
"33","Brazil",2024,2265.12
"34","Canada",2014,1805.75
"35","Canada",2015,1556.51
"36","Canada",2016,1528
"37","Canada",2017,1649.27
"38","Canada",2018,1725.3
"39","Canada",2019,1743.73
"40","Canada",2020,1647.6
"41","Canada",2021,2001.49
"42","Canada",2022,2137.94
"43","Canada",2023,2117.81
"44","Canada",2024,2238.57
"45","China",2014,10524.24
"46","China",2015,11113.51
"47","China",2016,11226.9
"48","China",2017,12265.33
"49","China",2018,13841.81
"50","China",2019,14340.6
"51","China",2020,14862.56
"52","China",2021,17759.31
"53","China",2022,17886.33
"54","China",2023,17700.9
"55","China",2024,18560.01
"56","Euro Area",2014,13572.58
"57","Euro Area",2015,11727.5
"58","Euro Area",2016,12022.25
"59","Euro Area",2017,12732.55
"60","Euro Area",2018,13767.79
"61","Euro Area",2019,13483.08
"62","Euro Area",2020,13142.63
"63","Euro Area",2021,14697.25
"64","Euro Area",2022,14150.7
"65","Euro Area",2023,15478.35
"66","Euro Area",2024,16319.89
"67","France",2014,2856.7
"68","France",2015,2439.44
"69","France",2016,2472.28
"70","France",2017,2594.24
"71","France",2018,2792.22
"72","France",2019,2729.17
"73","France",2020,2645.3
"74","France",2021,2958.43
"75","France",2022,2780.14
"76","France",2023,3049.02
"77","France",2024,3183.49
"78","Germany",2014,3890.1
"79","Germany",2015,3357.93
"80","Germany",2016,3468.9
"81","Germany",2017,3689.55
"82","Germany",2018,3976.25
"83","Germany",2019,3889.61
"84","Germany",2020,3884.62
