Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,S&P500
1/2/2015 16:00:00,27.33,15.43,26.17,78.45,46.76,5.03,14.62,2058.2
1/5/2015 16:00:00,26.56,15.11,25.62,77.19,46.33,4.95,14.01,2020.58
1/6/2015 16:00:00,26.57,14.76,25.03,76.15,45.65,4.8,14.09,2002.61
1/7/2015 16:00:00,26.94,14.92,24.99,76.15,46.23,4.78,14.06,2025.9
1/8/2015 16:00:00,27.97,15.02,25.07,78.18,47.59,4.97,14.04,2062.14
1/9/2015 16:00:00,28,14.85,24.74,77.74,47.19,4.99,13.78,2044.81
1/12/2015 16:00:00,27.31,14.57,24.56,76.72,46.6,4.92,13.48,2028.26
1/13/2015 16:00:00,27.56,14.74,24.74,76.45,46.36,4.91,13.62,2023.03
1/14/2015 16:00:00,27.45,14.66,24.97,76.28,45.96,4.93,12.85,2011.27
1/15/2015 16:00:00,26.71,14.35,25.02,74.05,45.48,4.9,12.79,1992.67
1/16/2015 16:00:00,26.5,14.54,25.33,75.18,46.24,4.99,12.87,2019.42
1/20/2015 16:00:00,27.18,14.47,25.28,76.24,46.39,5.01,12.8,2022.55
1/21/2015 16:00:00,27.39,14.86,25.83,76.74,45.92,5.08,13.1,2032.12
1/22/2015 16:00:00,28.1,15.52,26.65,77.65,47.13,5.16,13.44,2063.15
1/23/2015 16:00:00,28.25,15.62,26.92,77.83,47.18,5.18,13.42,2051.82
1/26/2015 16:00:00,28.28,15.48,26.69,77.5,47.01,5.15,13.77,2057.09
1/27/2015 16:00:00,27.29,15.34,25.86,75.78,42.66,4.91,13.73,2029.55
1/28/2015 16:00:00,28.83,15.2,25.43,76.24,41.19,4.83,13.29,2002.16
1/29/2015 16:00:00,29.73,15.59,25.46,78,42.01,4.95,13.68,2021.25
1/30/2015 16:00:00,29.29,17.73,26.65,75.91,40.4,4.8,13.57,1994.99
2/2/2015 16:00:00,29.66,18.22,26.35,74.99,41.28,4.91,14.06,2020.85
2/3/2015 16:00:00,29.66,18.18,26.39,75.4,41.6,5.03,14.56,2050.03
2/4/2015 16:00:00,29.89,18.24,26.07,75.63,41.84,5.04,14.57,2041.51
2/5/2015 16:00:00,29.99,18.69,26.31,75.61,42.45,5.12,14.73,2062.52
2/6/2015 16:00:00,29.73,18.71,26.48,74.47,42.41,5.1,14.49,2055.47
2/9/2015 16:00:00,29.93,18.53,26.32,74.44,42.36,5.1,14.5,2046.74
2/10/2015 16:00:00,30.51,18.65,26.77,75.19,42.6,5.24,14.42,2068.59
2/11/2015 16:00:00,31.22,18.76,26.73,76.51,42.38,5.2,14.19,2068.53
