"""=GOOGLEFINANCE(""AAPL"", ""close"", DATE(2020,1,1), DATE(2023,2,23), ""DAILY"")""",,,,,,,,
Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,S&P500
1/2/2020 16:00:00,75.09,94.9,68.37,209.78,160.62,59.98,28.68,3257.85
1/3/2020 16:00:00,74.36,93.75,68.03,208.67,158.62,59.02,29.53,3234.85
1/6/2020 16:00:00,74.95,95.14,69.71,212.6,159.03,59.27,30.1,3246.28
1/7/2020 16:00:00,74.6,95.34,69.67,213.06,157.58,59.98,31.27,3237.18
1/8/2020 16:00:00,75.8,94.6,70.22,215.22,160.09,60.1,32.81,3253.05
1/9/2020 16:00:00,77.41,95.05,70.99,218.3,162.09,60.76,32.09,3274.7
1/10/2020 16:00:00,77.58,94.16,71.49,218.06,161.34,61.08,31.88,3265.35
1/13/2020 16:00:00,79.24,94.57,71.96,221.91,163.28,63,34.99,3288.13
1/14/2020 16:00:00,78.17,93.47,71.54,219.06,162.13,61.82,35.86,3283.15
1/15/2020 16:00:00,77.83,93.1,71.96,221.15,163.18,61.39,34.57,3289.29
1/16/2020 16:00:00,78.81,93.9,72.58,221.77,166.17,62.23,34.23,3316.81
1/17/2020 16:00:00,79.68,93.24,74.02,222.14,167.1,62.32,34.03,3329.62
1/21/2020 16:00:00,79.14,94.6,74.22,221.44,166.5,61.99,36.48,3320.79
1/22/2020 16:00:00,79.43,94.37,74.3,221.32,165.7,62.51,37.97,3321.75
1/23/2020 16:00:00,79.81,94.23,74.33,219.76,166.72,63.22,38.15,3325.54
1/24/2020 16:00:00,79.58,93.08,73.34,217.94,165.04,62.62,37.65,3295.47
1/27/2020 16:00:00,77.24,91.42,71.69,214.87,162.28,60.05,37.2,3243.63
1/28/2020 16:00:00,79.42,92.66,72.63,217.79,165.46,61.99,37.79,3276.24
1/29/2020 16:00:00,81.08,92.9,72.93,223.23,168.04,61.39,38.73,3273.4
1/30/2020 16:00:00,80.97,93.53,72.79,209.53,172.78,61.45,42.72,3283.66
1/31/2020 16:00:00,77.38,100.44,71.71,201.91,170.23,59.11,43.37,3225.52
2/3/2020 16:00:00,77.17,100.21,74.3,204.19,174.38,60.08,52,3248.92
2/4/2020 16:00:00,79.71,102.48,72.35,209.83,180.12,61.78,59.14,3297.59
2/5/2020 16:00:00,80.36,101.99,72.41,210.11,179.9,62.69,48.98,3334.69
2/6/2020 16:00:00,81.3,102.51,73.81,210.85,183.63,63.56,49.93,3345.78
2/7/2020 16:00:00,80.01,103.96,73.96,212.33,183.89,62.9,49.87,3327.71
2/10/2020 16:00:00,80.39,106.7,75.43,213.06,188.7,65.74,51.42,3352.09
2/11/2020 16:00:00,79.9,107.54,75.44,207.19,184.44,66.97,51.63,3357.75
2/12/2020 16:00:00,81.8,108,75.91,210.76,184.71,68.14,51.15,3379.45
2/13/2020 16:00:00,81.22,107.49,75.73,213.14,183.71,67.69,53.6,3373.94
2/14/2020 16:00:00,81.24,106.74,76.04,214.18,185.35,72.45,53.34,3380.16
2/18/2020 16:00:00,79.75,107.78,75.98,217.8,187.23,74.14,57.23,3370.29
2/19/2020 16:00:00,80.91,108.51,76.33,217.49,187.28,78.68,61.16,3386.15
2/20/2020 16:00:00,80.08,107.66,75.91,214.58,184.42,77.18,59.96,3373.23
2/21/2020 16:00:00,78.26,104.8,74.26,210.18,178.59,73.52,60.07,3337.75
2/24/2020 16:00:00,74.55,100.46,71.08,200.72,170.89,68.32,55.59,3225.89
2/25/2020 16:00:00,72.02,98.64,69.42,196.77,168.07,65.51,53.33,3128.21
2/26/2020 16:00:00,73.16,98.98,69.66,197.2,170.17,66.91,51.92,3116.39
2/27/2020 16:00:00,68.38,94.22,65.9,189.75,158.18,63.15,45.27,2978.76
2/28/2020 16:00:00,68.34,94.19,66.97,192.47,162.01,67.52,44.53,2954.22
3/2/2020 16:00:00,74.7,97.7,69.46,196.44,172.79,69.11,49.57,3090.23
3/3/2020 16:00:00,72.33,95.45,67.07,185.89,164.51,66.47,49.7,3003.37
3/4/2020 16:00:00,75.69,98.79,69.33,191.76,170.55,71.13,49.97,3130.12
3/5/2020 16:00:00,73.23,96.2,65.95,185.17,166.27,68.32,48.3,3023.94
3/6/2020 16:00:00,72.26,95.05,64.92,181.09,161.57,66.51,46.9,2972.37
3/9/2020 16:00:00,66.54,90.03,60.78,169.5,150.62,61.36,40.53,2746.56
3/10/2020 16:00:00,71.33,94.59,64.02,178.19,160.92,65.27,43.02,2882.23
3/11/2020 16:00:00,68.86,91.04,60.77,170.24,153.63,61.62,42.28,2741.38
3/12/2020 16:00:00,62.06,83.83,55.75,154.47,139.06,54.08,37.37,2480.64
3/13/2020 16:00:00,69.49,89.25,60.99,170.28,158.83,60.21,36.44,2711.02
