"","Country","Year","GDP"
"1","Argentina",2020,389.064
"2","Argentina",2021,487.377
"3","Argentina",2022,630.606
"4","Argentina",2023,621.833
"5","Argentina",2024,632.629
"6","Australia",2020,1360.85
"7","Australia",2021,1645.3
"8","Australia",2022,1702.55
"9","Australia",2023,1687.71
"10","Australia",2024,1685.67
"11","Brazil",2020,1476.09
"12","Brazil",2021,1649.63
"13","Brazil",2022,1920.02
"14","Brazil",2023,2126.81
"15","Brazil",2024,2265.12
"16","Canada",2020,1647.6
"17","Canada",2021,2001.49
"18","Canada",2022,2137.94
"19","Canada",2023,2117.81
"20","Canada",2024,2238.57
"21","China",2020,14862.56
"22","China",2021,17759.31
"23","China",2022,17886.33
"24","China",2023,17700.9
"25","China",2024,18560.01
"26","Euro Area",2020,13142.63
"27","Euro Area",2021,14697.25
"28","Euro Area",2022,14150.7
"29","Euro Area",2023,15478.35
"30","Euro Area",2024,16319.89
"31","France",2020,2645.3
"32","France",2021,2958.43
"33","France",2022,2780.14
"34","France",2023,3049.02
"35","France",2024,3183.49
"36","Germany",2020,3884.62
"37","Germany",2021,4281.35
"38","Germany",2022,4085.68
"39","Germany",2023,4429.84
"40","Germany",2024,4700.88
"41","India",2020,2671.6
"42","India",2021,3150.31
"43","India",2022,3389.69
"44","India",2023,3732.22
"45","India",2024,4105.38
"46","Indonesia",2020,1062.53
"47","Indonesia",2021,1187.73
"48","Indonesia",2022,1318.81
"49","Indonesia",2023,1417.39
"50","Indonesia",2024,1542.37
"51","Italy",2020,1895.69
"52","Italy",2021,2115.76
"53","Italy",2022,2012.01
"54","Italy",2023,2186.08
"55","Italy",2024,2284.08
"56","Japan",2020,5050.68
"57","Japan",2021,5011.87
"58","Japan",2022,4237.53
"59","Japan",2023,4230.86
"60","Japan",2024,4286.19
"61","Korea",2020,1644.68
"62","Korea",2021,1818.43
"63","Korea",2022,1673.92
"64","Korea",2023,1709.23
"65","Korea",2024,1784.81
"66","Mexico",2020,1120.74
"67","Mexico",2021,1312.56
"68","Mexico",2022,1465.85
"69","Mexico",2023,1811.47
"70","Mexico",2024,1994.15
"71","Netherlands",2020,909.065
"72","Netherlands",2021,1030.36
"73","Netherlands",2022,1010.19
"74","Netherlands",2023,1092.75
"75","Netherlands",2024,1157.91
"76","Russia",2020,1488.12
"77","Russia",2021,1836.63
"78","Russia",2022,2244.25
"79","Russia",2023,1862.47
"80","Russia",2024,1904.34
"81","Saudi Arabia",2020,734.271
"82","Saudi Arabia",2021,868.586
"83","Saudi Arabia",2022,1108.15
"84","Saudi Arabia",2023,1069.44
"85","Saudi Arabia",2024,1109.51
"86","Singapore",2020,348.392
"87","Singapore",2021,423.797
"88","Singapore",2022,466.789
"89","Singapore",2023,497.347
"90","Singapore",2024,520.973
"91","South Africa",2020,338.193
"92","South Africa",2021,420.009
"93","South Africa",2022,405.106
"94","South Africa",2023,380.906
"95","South Africa",2024,401.466
"96","Turkey",2020,720.159
"97","Turkey",2021,818.337
"98","Turkey",2022,905.841
"99","Turkey",2023,1154.6
"100","Turkey",2024,1340.69
"101","UK",2020,2706.54
"102","UK",2021,3123.23
"103","UK",2022,3081.87
"104","UK",2023,3332.06
"105","UK",2024,3587.75
"106","USA",2020,21060.45
"107","USA",2021,23315.08
"108","USA",2022,25462.73
"109","USA",2023,26949.64
"110","USA",2024,27966.55
"111","MAG7",2019,926393
"112","MAG7",2020,9146
"113","MAG7",2021,12959
"114","MAG7",2022,8137
"115","MAG7",2023,13461
"116","MAG7",2024,14121
